Time,C_in,C,C_next
170,3.02886284972236,1.09830698386542,1.09840677909861
171,3.02929466998937,1.09840677909861,1.09850340428613
172,3.02970771786681,1.09850340428613,1.09859473373977
173,3.03010190913299,1.09859473373977,1.09868300605521
174,3.03047716133061,1.09868300605521,1.09876620752806
175,3.03083339378292,1.09876620752806,1.09884567692583
176,3.03117052760951,1.09884567692583,1.09892086451563
177,3.0314884857419,1.09892086451563,1.09899137909925
178,3.03178719293889,1.09899137909925,1.09905843750562
179,3.03206657580159,1.09905843750562,1.09912014674226
180,3.03232656278826,1.09912014674226,1.09917873922857
181,3.03256708422883,1.09917873922857,1.09923198797023
182,3.03278807233915,1.09923198797023,1.09928165580034
183,3.03298946123507,1.09928165580034,1.09932662724522
184,3.03317118694607,1.09932662724522,1.09936714102718
185,3.03333318742878,1.09936714102718,1.09940380792848
186,3.03347540258017,1.09940380792848,1.09943521148286
187,3.03359777425041,1.09943521148286,1.0994633456365
188,3.0337002462555,1.0994633456365,1.09948593699008
189,3.03378276438964,1.09948593699008,1.09950512315138
190,3.03384527643726,1.09950512315138,1.09951917044158
191,3.03388773218478,1.09951917044158,1.0995290860329
192,3.0339100834321,1.0995290860329,1.09953466224037
193,3.03391228400377,1.09953466224037,1.09953523888523
194,3.03389428975993,1.09953523888523,1.09953222863037
195,3.03385605860682,1.09953222863037,1.09952364698714
196,3.03379755050719,1.09952364698714,1.09951174837863
197,3.0337187274902,1.09951174837863,1.09949433652351
198,3.03361955366121,1.09949433652351,1.09947315942654
199,3.03349999521112,1.09947315942654,1.0994470992104
200,3.0333600204255,1.0994470992104,1.09941645614067
201,3.03319959969335,1.09941645614067,1.09938175045011
202,3.03301870551564,1.09938175045011,1.09934168712143
203,3.03281731251344,1.09934168712143,1.09929816465414
204,3.0325953974358,1.09929816465414,1.09924895629081
205,3.03235293916732,1.09924895629081,1.09919627281507
206,3.03208991873538,1.09919627281507,1.09913821332924
207,3.03180631931708,1.09913821332924,1.09907606056814
208,3.03150212624586,1.09907606056814,1.09900927495252
